;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraft-
omni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahr-
zeug-
anh‰nger"
;RB ZUSAMMEN;;329.570;319.578;4.229;5.763;44.266;2.815.639;864.023;1.433.120;491.199;27.297;154.637;515.904;51.373;904;468.461;882.405;598;4.122;178.707;61.175;91.162;1.758;8.426;3.247;4.387;8.480;72;163.216;7.605;116.698;4.767;19.907;365.952;3.511.161;745;395.516
; RB NIEDERBAYERN                  ;09261  LANDSHUT,STADT                   ;3.972;3.883;41;48;538;37.995;12.393;19.205;6.150;247;1.825;5.551;538;34;4.194;13.083;518;77;1.932;640;934;34;90;69;75;90;-;730;31;522;30;173;2.912;44.879;611;4.003
;;09262  PASSAU,STADT                     ;3.257;3.173;45;39;420;28.886;9.606;14.724;4.354;202;1.265;4.906;379;57;4.933;9.409;547;86;2.339;650;1.164;23;110;56;58;278;-;847;105;590;72;251;3.523;35.666;675;4.567
;;09263  STRAUBING,STADT                  ;2.278;2.173;47;58;294;27.804;9.505;13.798;4.355;146;1.258;3.948;271;15;4.066;9.005;582;46;2.207;854;937;22;131;71;63;129;-;663;83;420;48;403;3.319;33.401;699;3.633
;;09271  DEGGENDORF                       ;10.465;9.844;96;525;1.445;79.297;25.689;41.947;11.235;426;3.145;13.516;791;29;7.457;26.354;664;132;6.115;1.844;3.209;29;308;118;206;398;3;10.017;362;7.187;501;637;16.901;106.663;893;18.475
;;09272  FREYUNG-GRAFENAU                 ;9.406;8.696;70;640;1.143;53.384;17.761;28.307;7.118;198;1.668;14.524;606;60;3.966;16.729;681;124;3.501;1.112;1.778;29;173;106;110;193;-;11.101;168;8.188;520;434;15.160;77.950;995;13.179
;;09273  KELHEIM                          ;11.060;10.539;145;376;1.433;81.705;25.665;42.830;12.722;488;3.629;12.146;947;28;5.988;25.877;664;226;5.369;1.583;2.889;32;287;102;152;322;2;9.738;435;7.336;352;529;15.862;108.627;883;17.640
;;09274  LANDSHUT                         ;14.810;14.011;185;614;1.881;110.107;32.752;58.969;17.595;791;4.925;16.957;1.524;11;8.618;35.602;689;146;7.965;2.387;4.130;102;490;231;200;423;2;14.204;432;11.035;423;800;23.115;148.032;926;26.087
;;09275  PASSAU                           ;19.167;18.088;199;880;2.314;129.826;43.883;66.926;18.268;749;4.896;24.166;1.443;2;9.580;43.487;674;276;8.420;2.826;4.021;69;509;176;280;537;2;19.185;663;13.937;1.032;871;28.752;177.745;923;32.887
;;09276  REGEN                            ;7.485;6.903;49;533;873;50.535;17.074;26.410;6.777;274;1.513;13.264;545;18;4.370;16.082;653;76;3.460;1.147;1.830;24;155;53;77;171;3;9.425;100;6.989;524;375;13.336;71.356;922;12.462
