;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraftomni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahrzeug-
anh‰nger"
;;09177 ERDING;13.002;12.505;174;323;1.706;93.605;29.880;46.637;13.839;3.249;4.638;15.854;1.854;22;7.369;31.935;657;217;6.939;2.150;3.504;68;281;112;268;554;2;10.762;422;8.158;2.182;797;18.715;125.322;879;18.206
;;09178 FREISING;15.694;15.187;265;242;2.212;114.272;34.487;57.290;18.083;4.412;5.758;19.100;2.414;39;12.017;37.403;613;209;9.331;2.999;4.828;62;415;282;230;512;3;9.589;606;7.376;1.607;884;20.013;149.979;805;19.257
;;09179 FUERSTENFELDBRUCK;16.338;15.940;258;140;2.456;126.709;42.147;60.152;19.845;4.565;6.904;20.820;3.476;27;11.366;44.310;568;156;8.969;3.028;4.803;77;364;151;238;298;10;4.857;171;3.586;1.100;716;14.698;157.745;708;19.167
;;09180 GARMISCH-PARTENKIRCHEN;8.504;8.327;74;103;1.180;53.728;18.880;25.058;8.152;1.638;2.293;13.702;2.390;35;5.938;20.004;605;41;4.405;1.558;2.456;29;115;31;70;145;1;5.117;48;4.381;688;400;9.963;72.195;813;9.767
;;09181 LANDSBERG AM LECH;12.703;12.298;197;208;1.799;86.350;27.321;41.474;13.312;4.243;4.820;14.319;2.826;21;9.339;29.919;695;111;5.292;1.684;2.951;57;166;76;99;257;2;8.161;258;6.136;1.767;498;14.062;113.115;910;18.337
;;09182 MIESBACH;10.263;9.985;94;184;1.426;68.208;20.993;32.437;12.075;2.703;4.350;20.212;2.159;25;8.137;24.250;672;60;5.588;1.923;2.942;45;186;63;142;284;3;5.363;156;4.481;726;511;11.522;89.993;887;11.727
;;09183 MUEHLDORF A.INN;10.828;10.227;159;442;1.481;79.405;25.252;39.325;12.037;2.791;3.452;13.156;1.671;28;6.905;26.640;658;118;5.927;1.924;3.208;41;203;94;146;309;2;9.652;291;8.226;1.135;636;16.333;106.566;883;18.991
;;09184 MUENCHEN;24.902;24.370;373;159;3.578;246.346;65.223;119.529;45.005;16.589;15.379;59.794;4.944;27;70.753;68.119;687;431;20.269;6.299;10.963;317;871;358;561;894;6;5.278;549;4.143;586;2.151;28.129;299.377;835;22.601
;;09185 NEUBURG-SCHROBENHAUSEN;10.192;9.697;241;254;1.413;68.354;21.354;34.841;10.241;1.918;3.046;11.344;1.358;18;5.772;21.923;676;117;5.020;1.518;2.658;64;220;87;160;310;3;8.252;423;6.435;1.394;523;13.912;92.458;914;17.921
;;09186 PFAFFENHOFEN A.D.ILM;13.496;12.970;248;278;1.850;88.249;26.192;44.873;13.858;3.326;4.353;15.580;1.823;26;6.935;28.768;664;50;6.312;1.665;3.598;55;250;143;165;435;1;9.773;582;7.723;1.468;545;16.680;118.425;891;20.130
